id,name,container,video_codec,audio_codec,command,filename,output_url,ffmpeg_command,time,time_formatted,original_file_size,compressed_file_size,compression_ratio
Webm_Average_Bitrate__ABR__vp9_opus,Webm Average Bitrate (ABR),webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -b:v 2M -c:a libopus #OUTPUT,Webm_Average_Bitrate__ABR__vp9_opus.webm,Webm_Average_Bitrate__ABR__vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -b:v 2M -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Average_Bitrate__ABR__vp9_opus.webm,183.87,00:03:03,19469513,16317101,83.8
Webm_Two_Pass_vp9_opus,Webm Two-Pass,webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -b:v 2M -pass 1 -an -f null /dev/null && ffmpeg -i #INPUT -c:v libvpx-vp9 -b:v 2M -pass 2 -c:a libopus #OUTPUT,Webm_Two_Pass_vp9_opus.webm,Webm_Two_Pass_vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -b:v 2M -pass 1 -an -f null /dev/null && ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -b:v 2M -pass 2 -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Two_Pass_vp9_opus.webm,438.47,00:07:18,19469513,15665325,80.46
Webm_Constant_Quality_vp9_opus,Webm Constant Quality,webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -crf 30 -b:v 0 -c:a libopus #OUTPUT,Webm_Constant_Quality_vp9_opus.webm,Webm_Constant_Quality_vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -crf 30 -b:v 0 -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constant_Quality_vp9_opus.webm,151.63,00:02:31,19469513,7547690,38.76
Webm_Constrained_Quality_vp9_opus,Webm Constrained Quality,webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -crf 30 -b:v 2000k -c:a libopus #OUTPUT,Webm_Constrained_Quality_vp9_opus.webm,Webm_Constrained_Quality_vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -crf 30 -b:v 2000k -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constrained_Quality_vp9_opus.webm,146.7,00:02:26,19469513,8278617,42.52
Webm_Constant_Bitrate_vp9_opus,Webm Constant Bitrate,webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus #OUTPUT,Webm_Constant_Bitrate_vp9_opus.webm,Webm_Constant_Bitrate_vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constant_Bitrate_vp9_opus.webm,168.13,00:02:48,19469513,8324018,42.75
Webm_Lossless_vp9_opus,Webm Lossless,webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -lossless 1 -c:a libopus #OUTPUT,Webm_Lossless_vp9_opus.webm,Webm_Lossless_vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -lossless 1 -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Lossless_vp9_opus.webm,273.12,00:04:33,19469513,374263100,1922.3
MP4_Constant_Quality_preset_slow_h264_aac,MP4 Constant Quality preset slow,mp4,h264,aac,ffmpeg -i #INPUT -c:v libx264 -preset slow -crf 22 -c:a aac #OUTPUT,MP4_Constant_Quality_preset_slow_h264_aac.mp4,MP4_Constant_Quality_preset_slow_h264_aac.mp4,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -preset slow -crf 22 -c:a aac /Users/fernando.guillen/Development/VideoCodecsPlayground/results/MP4_Constant_Quality_preset_slow_h264_aac.mp4,35.8,00:00:35,19469513,17667120,90.74
MP4_Constant_Quality_preset_medium_h264_aac,MP4 Constant Quality preset medium,mp4,h264,aac,ffmpeg -i #INPUT -c:v libx264 -preset medium -crf 22 -c:a aac #OUTPUT,MP4_Constant_Quality_preset_medium_h264_aac.mp4,MP4_Constant_Quality_preset_medium_h264_aac.mp4,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -preset medium -crf 22 -c:a aac /Users/fernando.guillen/Development/VideoCodecsPlayground/results/MP4_Constant_Quality_preset_medium_h264_aac.mp4,27.63,00:00:27,19469513,18179280,93.37
MP4_Constant_Quality_preset_veryslow_h264_aac,MP4 Constant Quality preset veryslow,mp4,h264,aac,ffmpeg -i #INPUT -c:v libx264 -preset veryslow -crf 22 -c:a aac #OUTPUT,MP4_Constant_Quality_preset_veryslow_h264_aac.mp4,MP4_Constant_Quality_preset_veryslow_h264_aac.mp4,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -preset veryslow -crf 22 -c:a aac /Users/fernando.guillen/Development/VideoCodecsPlayground/results/MP4_Constant_Quality_preset_veryslow_h264_aac.mp4,112.78,00:01:52,19469513,15798007,81.14
MP4_Two_Pass_h264_aac,MP4 Two-Pass,mp4,h264,aac,ffmpeg -y -i #INPUT -c:v libx264 -b:v 2600k -pass 1 -an -f mp4 /dev/null && ffmpeg -i #INPUT -c:v libx264 -b:v 2600k -pass 2 -c:a aac -b:a 128k #OUTPUT,MP4_Two_Pass_h264_aac.mp4,MP4_Two_Pass_h264_aac.mp4,ffmpeg -y -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -b:v 2600k -pass 1 -an -f mp4 /dev/null && ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -b:v 2600k -pass 2 -c:a aac -b:a 128k /Users/fernando.guillen/Development/VideoCodecsPlayground/results/MP4_Two_Pass_h264_aac.mp4,35.62,00:00:35,19469513,20494067,105.26
MP4_Lossless_H_264_h264_aac,MP4 Lossless H.264,mp4,h264,aac,ffmpeg -i #INPUT -c:v libx264 -c:a aac -qp 0 #OUTPUT,MP4_Lossless_H_264_h264_aac.mp4,MP4_Lossless_H_264_h264_aac.mp4,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -c:a aac -qp 0 /Users/fernando.guillen/Development/VideoCodecsPlayground/results/MP4_Lossless_H_264_h264_aac.mp4,37.46,00:00:37,19469513,270850978,1391.15
MP4_no_params_h264_aac,MP4 no params,mp4,h264,aac,ffmpeg -i #INPUT -c:v libx264 -c:a aac #OUTPUT,MP4_no_params_h264_aac.mp4,MP4_no_params_h264_aac.mp4,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libx264 -c:a aac /Users/fernando.guillen/Development/VideoCodecsPlayground/results/MP4_no_params_h264_aac.mp4,26.71,00:00:26,19469513,16363681,84.04
Webm_no_params_vp9_opus,Webm no params,webm,vp9,opus,ffmpeg -i #INPUT -c:v libvpx-vp9 -c:a libopus #OUTPUT,Webm_no_params_vp9_opus.webm,Webm_no_params_vp9_opus.webm,ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -c:a libopus /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_no_params_vp9_opus.webm,147.57,00:02:27,19469513,6451237,33.13
Webm_Constant_Bitrate___360p_vp9_opus,Webm Constant Bitrate - 360p,webm,vp9,opus,"ffmpeg -i #INPUT -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(360,ih)'"" #OUTPUT",Webm_Constant_Bitrate___360p_vp9_opus.webm,Webm_Constant_Bitrate___360p_vp9_opus.webm,"ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(360,ih)'"" /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constant_Bitrate___360p_vp9_opus.webm",102.05,00:01:42,19469513,8027509,41.23
Webm_Constant_Bitrate___480p_vp9_opus,Webm Constant Bitrate - 480p,webm,vp9,opus,"ffmpeg -i #INPUT -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(480,ih)'"" #OUTPUT",Webm_Constant_Bitrate___480p_vp9_opus.webm,Webm_Constant_Bitrate___480p_vp9_opus.webm,"ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(480,ih)'"" /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constant_Bitrate___480p_vp9_opus.webm",124.77,00:02:04,19469513,8086230,41.53
Webm_Constant_Bitrate___720p_vp9_opus,Webm Constant Bitrate - 720p,webm,vp9,opus,"ffmpeg -i #INPUT -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(720,ih)'"" #OUTPUT",Webm_Constant_Bitrate___720p_vp9_opus.webm,Webm_Constant_Bitrate___720p_vp9_opus.webm,"ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(720,ih)'"" /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constant_Bitrate___720p_vp9_opus.webm",117.77,00:01:57,19469513,8206189,42.14
Webm_Constant_Bitrate___1080p_vp9_opus,Webm Constant Bitrate - 1080p,webm,vp9,opus,"ffmpeg -i #INPUT -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(1080,ih)'"" #OUTPUT",Webm_Constant_Bitrate___1080p_vp9_opus.webm,Webm_Constant_Bitrate___1080p_vp9_opus.webm,"ffmpeg -y -i /Users/fernando.guillen/Development/VideoCodecsPlayground/original.mp4 -c:v libvpx-vp9 -minrate 1M -maxrate 1M -b:v 1M -c:a libopus -filter:v ""scale=-1:'min(1080,ih)'"" /Users/fernando.guillen/Development/VideoCodecsPlayground/results/Webm_Constant_Bitrate___1080p_vp9_opus.webm",168.76,00:02:48,19469513,8324018,42.75
